case_id,source_date,source_title,source_url,incident_title,service_or_system,first_minute_evidence,observed_symptoms,recent_change,wrong_first_branch,correct_first_branch,loss_created_by_wrong_branch,root_cause,failure_mode,fingerprint,evidence_confidence,review_notes
GH-2026-05-04-SCHEMA-MIGRATION-CONNECTIONS,2026-05-04,GitHub availability report: May 2026,https://github.blog/news-insights/company-news/github-availability-report-may-2026/,GitHub disruption from online schema migration saturating DB connections,Shared GitHub database,"Pull requests were most affected, while Issues, Actions, webhooks, Git operations and many dependent services showed latency and intermittent errors near traffic peak.",A broad service set degraded as normal traffic increased while a long-running migration continued.,A routine online schema migration was running against a large heavily accessed table.,,Inspect database connection capacity and long-running migration load; pause or throttle the migration before treating each affected product separately.,Customer impact lasted about an hour; the source does not disclose first-diagnosis delay.,Combined load from the schema migration and peak production traffic saturated database connection capacity.,context_blindness,pull|requests|latency|errors|issues|actions|webhooks|database|connections|schema|migration|traffic,high,High-value change-plus-peak-load case.
GH-2026-06-04-COPILOT-DEPENDENCY-INCOMPATIBILITY,2026-06-04,GitHub availability report: June 2026,https://github.blog/news-insights/company-news/github-availability-report-june-2026/,Copilot code review failed after dependency release incompatibility,Copilot code review processing,Most requested code reviews returned a generic processing error while other GitHub functions remained available.,Failure began after a dependency release used by the review-processing workflow.,A newly released dependency entered the processing path.,,"Check upstream dependency health and runtime compatibility before tuning Copilot prompts, repository permissions or review-request payloads.","Approximately 36,800 review requests failed.",A newly released dependency was incompatible with the runtime environment.,false_pattern_match,copilot|code|review|error|requests|dependency|release|runtime|incompatible|processing|workflow,high,Separates model/application hypotheses from dependency runtime failure.
GH-2026-06-17-COPILOT-MODEL-CONFIG,2026-06-17,GitHub availability report: June 2026,https://github.blog/news-insights/company-news/github-availability-report-june-2026/,Copilot frontier models disappeared after invalid configuration change,Copilot model availability configuration,"Multiple frontier models disappeared from model pickers or returned model-not-available errors across web, editor and CLI; other models remained usable.",The same model subset failed consistently across clients.,A production configuration change was applied and judged invalid by the system.,,Inspect shared model-availability configuration and revert the recent change rather than debugging each client or inference request path.,Affected models were unavailable for roughly 54 minutes.,An invalid production configuration change removed the affected models until the configuration was reverted.,context_blindness,copilot|models|missing|unavailable|picker|editor|command|line|configuration|revert,high,Cross-client consistency identifies the shared configuration layer.
GH-2026-06-25-BACKGROUND-CONNECTION-STORM,2026-06-25,GitHub availability report: June 2026,https://github.blog/news-insights/company-news/github-availability-report-june-2026/,Background jobs delayed by hypervisor fault and connection storm,GitHub background job service,"Pull requests, pushes, Actions and webhooks accumulated delays up to several minutes while a background-job node timed out and repeatedly rebalanced.",An unhealthy node plus incoming traffic produced connection churn and continual rebalance behavior.,,,"Inspect unhealthy queue nodes, connection churn and rebalance loops; remove the affected node before scaling every dependent service.",Delays peaked around seven minutes until the impacted node was replaced.,"Underlying hypervisor issues and a traffic spike caused timeouts, a connection storm and continual rebalances.",context_blindness,background|jobs|delays|pull|requests|pushes|actions|webhooks|timeouts|connections|rebalance|hypervisor,high,Node removal is the source mitigation; first-branch phrasing is curated.
CF-2026-02-20-BYOIP-WITHDRAWAL,2026-02-20,"Cloudflare outage on February 20, 2026",https://blog.cloudflare.com/cloudflare-outage-february-20-2026/,Cloudflare BYOIP customer prefixes unintentionally withdrawn,Cloudflare BYOIP/BGP routing,Only customers using Bring Your Own IP saw widespread timeouts and failed Internet connections; routes for their prefixes disappeared.,"Applications were unreachable despite no evidence of attack, and impact was scoped to BYOIP prefixes.",Cloudflare changed how the network managed IP addresses onboarded through the BYOIP pipeline.,,Inspect BGP announcements and recent BYOIP onboarding-management changes before investigating customer origins or application health.,Affected customer services were unreachable until prefixes were restored.,A network-management change unintentionally withdrew customer BYOIP prefixes via BGP.,anchoring,byoip|routes|withdrawn|bgp|timeouts|connect|unreachable|prefixes|internet|network|change,high,Attack is explicitly excluded by the source.
CF-2025-07-14-RESOLVER-ROUTE-WITHDRAWAL,2025-07-14,"Cloudflare 1.1.1.1 incident on July 14, 2025",https://blog.cloudflare.com/cloudflare-1-1-1-1-incident-on-july-14-2025/,1.1.1.1 global resolver outage after prefixes were withdrawn,Cloudflare public DNS resolver and anycast routing,"UDP, TCP and DNS-over-TLS queries to 1.1.1.1 dropped globally while DNS-over-HTTPS using a different hostname/address path remained comparatively stable.",Resolver addresses became unreachable and their BGP advertisements were withdrawn worldwide.,A service-topology refresh activated a dormant legacy configuration error.,Treating a visible BGP-origin anomaly as the cause rather than checking Cloudflare's own route withdrawals.,Inspect anycast prefix advertisements and the latest service-topology refresh; compare affected resolver IP paths against unaffected DoH paths.,Resolver service was unavailable globally for 62 minutes.,"A legacy service-topology misconfiguration linked 1.1.1.1 prefixes to a non-production service, causing global route withdrawals during a later refresh.",anchoring,resolver|queries|dropped|global|udp|tcp|tls|https|stable|bgp|prefixes|withdrawn|anycast,high,The source explicitly identifies an unrelated visible hijack that was not causal.
CF-2023-11-02-CONTROL-PLANE-DATACENTER,2023-11-02,Post mortem on the Cloudflare Control Plane and Analytics Outage,https://blog.cloudflare.com/post-mortem-on-cloudflare-control-plane-and-analytics-outage/,Cloudflare control plane failed after complete data-center power loss exposed hidden dependencies,"Cloudflare control plane, analytics, Kafka and ClickHouse","Customer configuration APIs, dashboard and analytics failed while the traffic-serving data plane largely continued operating.",Routers and systems in one facility went offline; supposedly highly available services failed because they depended on Kafka and ClickHouse hosted only there.,,,Treat data-plane health plus control-plane failure as a dependency-location problem; inspect facility reachability and non-redundant Kafka/ClickHouse dependencies.,Control-plane and analytics recovery extended across more than a day for some services.,A catastrophic data-center power failure combined with hidden single-facility dependencies and incomplete full-facility failover testing.,context_blindness,dashboard|api|analytics|logs|control|plane|traffic|working|data|center|power|kafka|clickhouse|dependency,high,Vendor electrical root details remained partly uncertain; software dependency facts are explicit.
CF-2022-10-25-TIERED-CACHE-HEADERS,2022-10-25,"Partial Cloudflare outage on October 25, 2022",https://blog.cloudflare.com/partial-cloudflare-outage-on-october-25-2022/,Tiered Cache requests returned 530 after tracing code cleared routing headers,Cloudflare CDN Tiered Cache,"HTTP 530 errors affected Tiered Cache, Images and Bandwidth Alliance requests, while content served from local cache remained healthy.",Failures spread with rollout and appeared DNS-related because origin hostname context was missing.,Distributed tracing was added to Tiered Cache logic.,Investigating an internal DNS release that was occurring at the same time.,Correlate 530s with Tiered Cache upper-tier traversal and the tracing rollout; inspect whether control headers and origin hostname context survive the hop.,Teams made several investigative attempts before confirming the faulty CDN release; peak impact reached about 5% of HTTP requests.,"Tracing integration cleared control headers needed by upper-tier requests, leaving internal DNS without the origin hostname and producing 530 errors.",anchoring,http|errors|tiered|cache|images|local|cache|healthy|dns|hostname|headers|tracing|rollout,high,Source explicitly documents the misleading concurrent DNS release.
CF-2022-06-21-NETWORK-CONFIG,2022-06-21,"Cloudflare outage on June 21, 2022",https://blog.cloudflare.com/cloudflare-outage-on-june-21-2022/,Cloudflare traffic outage across busiest locations after network configuration change,Cloudflare backbone and data-center network configuration,Traffic failed in 19 high-volume data centers while other locations continued operating normally.,Impact started immediately after a resilience-project configuration change in the busiest sites.,A network configuration change was deployed to 19 data centers.,,Inspect and revert the shared network configuration deployed to the exact impacted data-center cohort before treating the event as a global application failure.,The first center recovered about 31 minutes after onset and full recovery took roughly 75 minutes.,A network configuration change made during a resilience project caused traffic loss in 19 data centers.,context_blindness,traffic|outage|data|centers|locations|network|configuration|change|busiest|regions|unaffected,high,Cohort correlation is the primary early signal.
CF-2020-04-15-PATCH-PANEL,2020-04-15,"Cloudflare Dashboard and API Outage on April 15, 2020",https://blog.cloudflare.com/cloudflare-dashboard-and-api-outage-on-april-15-2020/,Cloudflare dashboard/API outage after critical patch-panel cables were removed,Cloudflare external control-plane connectivity,Dashboard and API connectivity failed after technicians retired hardware; diverse providers and facilities still shared one physical patch panel.,External connectivity disappeared and recovery was slowed by poor cable labeling and documentation.,Technicians removed cables while retiring hardware.,,"Inspect the physical connectivity path and recent data-center work, especially shared patch panels and removed cables, before debugging application services.",Time was lost identifying which critical cables had to be restored.,"Critical external-connectivity cables were removed from a shared patch panel, exposing a physical single point of failure.",context_blindness,dashboard|api|connectivity|data|center|hardware|cables|patch|panel|physical|network|removed,high,Useful sociotechnical/physical-layer case.
CF-2019-07-02-REGEX-CPU,2019-07-02,Cloudflare outage caused by bad software deploy,https://blog.cloudflare.com/cloudflare-outage/,Global Cloudflare 502 outage from bad rule causing CPU saturation,Cloudflare edge HTTP processing/WAF,Cloudflare-proxied domains returned 502s globally at the same time edge CPU utilization spiked across the network.,The outage began immediately after a software deployment and ended after rollback.,A bad software/rule deployment reached the global network.,Treating the event as an external attack because of its global scale.,Correlate the CPU spike with the latest globally distributed rule/software deployment and roll it back immediately.,The global outage lasted roughly 30 minutes.,A bad software deployment caused massive CPU utilization across the edge network.,anchoring,global|http|errors|bad|gateway|cpu|spike|edge|software|deploy|rule|rollback|attack,high,Source explicitly states the event was not an attack.
CF-2013-03-03-ROUTER-RULE,2013-03-03,Today's Outage Post Mortem,https://blog.cloudflare.com/todays-outage-post-mortem-82515/,Cloudflare disappeared from Internet after bad rule crashed edge routers,Cloudflare edge routers and routing,"DNS queries failed, pings and traceroutes returned no route to host, and edge routers across data centers crashed.",Packets could not find routes to the entire network; accessible routers crashed when processing the same rule.,A bad network rule was present on edge routers.,,Treat no-route symptoms as a routing-control-plane failure; inspect the common router rule and remove it before debugging DNS or proxy applications.,Physical reboots across globally distributed data centers extended restoration.,A bad rule triggered system-wide edge-router crashes and route withdrawals.,false_pattern_match,dns|error|ping|traceroute|route|host|routers|crash|network|unreachable|rule,high,Clear distinction between DNS symptom and routing cause.
CF-2012-09-16-RATE-LIMIT,2012-09-16,Post Mortem: What Yesterday's Network Outage Looked Like,https://blog.cloudflare.com/post-mortem-what-todays-network-outage-looked/,Cloudflare outage after DDoS mitigation rate limit was misapplied,Cloudflare network traffic management,European network instability coincided with an upstream provider problem and active mitigation of a large DDoS.,Connectivity interruption followed a rate-limit action during an already degraded upstream-network condition.,Operations applied a network rate limit to mitigate a DDoS.,Attributing the entire outage to the upstream provider or to the DDoS alone.,Audit the just-applied mitigation rule and its scope while separately validating upstream reachability.,The combined failure made customer sites unreachable; exact diagnostic delay is not disclosed.,An upstream network problem combined with a misapplied network rate limit during DDoS mitigation.,anchoring,europe|network|outage|upstream|provider|ddos|rate|limit|mitigation|connectivity,high,Multi-causal case; source explicitly identifies both factors.
CF-2012-05-02-BGP-POLICY,2012-05-02,Today's Outage Post Mortem,https://blog.cloudflare.com/todays-outage-post-mortem/,Cloudflare network outage from routing-policy failure,Cloudflare BGP routing,Approximately three quarters of Cloudflare traffic was disrupted across regions for up to about 15 minutes.,Large-scale reachability failure pointed to route announcements rather than application-level health.,,,Inspect BGP route announcements and shared router policy before application services or origin infrastructure.,A major portion of network traffic was unavailable during the incident.,A routing configuration/policy problem disrupted Cloudflare route availability across much of the network.,false_pattern_match,traffic|outage|regions|network|routes|routing|bgp|unreachable|application|healthy,medium,Public snippet provides less root-cause detail than newer cases; retain with medium confidence and re-review before production use.
